algo,size(bytes),avg_proc_time(ms),std_err(ms),std_dev(ms)
shamir,1310,0.0092,0.0001,0.0006
shamir,1320,0.0091,0.0001,0.0006
shamir,1330,0.0093,0.0002,0.0012
shamir,1340,0.0093,0.0001,0.0008
shamir,1350,0.0095,0.0002,0.0014
shamir,1360,0.0094,0.0001,0.0009
shamir,1370,0.0094,0.0001,0.0006
shamir,1380,0.0092,0.0001,0.0006
shamir,1390,0.0098,0.0001,0.0009
shamir,1400,0.0098,0.0001,0.0005
shamir,1410,0.0101,0.0001,0.0007
shamir,1420,0.0101,0.0000,0.0004
shamir,1430,0.0101,0.0001,0.0005
shamir,1440,0.0101,0.0001,0.0004
shamir,1450,0.0101,0.0001,0.0005
shamir,1460,0.0101,0.0001,0.0005
shamir,1470,0.0100,0.0001,0.0005
shamir,1480,0.0100,0.0001,0.0004
shamir,1490,0.0100,0.0001,0.0004
shamir,1500,0.0100,0.0001,0.0004
shamir,1510,0.0101,0.0001,0.0004
shamir,1520,0.0101,0.0001,0.0005
shamir,1530,0.0101,0.0001,0.0006
shamir,1540,0.0100,0.0001,0.0004
shamir,1550,0.0101,0.0001,0.0009
shamir,1560,0.0101,0.0001,0.0006
shamir,1570,0.0101,0.0001,0.0006
shamir,1580,0.0102,0.0001,0.0007
shamir,1590,0.0100,0.0001,0.0006
shamir,1600,0.0100,0.0001,0.0006
shamir,1610,0.0103,0.0002,0.0013
shamir,1620,0.0102,0.0001,0.0007
shamir,1630,0.0102,0.0001,0.0007
shamir,1640,0.0104,0.0002,0.0012
shamir,1650,0.0102,0.0001,0.0006
shamir,1660,0.0103,0.0001,0.0006
shamir,1670,0.0102,0.0001,0.0006
shamir,1680,0.0103,0.0001,0.0007
shamir,1690,0.0103,0.0001,0.0008
shamir,1700,0.0102,0.0001,0.0007
shamir,1710,0.0103,0.0001,0.0008
shamir,1720,0.0104,0.0001,0.0007
shamir,1730,0.0103,0.0001,0.0007
shamir,1740,0.0107,0.0001,0.0005
shamir,1750,0.0107,0.0001,0.0005
shamir,1760,0.0107,0.0001,0.0007
shamir,1770,0.0109,0.0001,0.0006
shamir,1780,0.0108,0.0001,0.0006
shamir,1790,0.0112,0.0002,0.0015
shamir,1800,0.0112,0.0001,0.0007
shamir,1810,0.0113,0.0001,0.0008
shamir,1820,0.0111,0.0001,0.0006
shamir,1830,0.0113,0.0003,0.0020
shamir,1840,0.0111,0.0001,0.0006
shamir,1850,0.0111,0.0001,0.0006
shamir,1860,0.0112,0.0001,0.0006
shamir,1870,0.0112,0.0001,0.0006
shamir,1880,0.0112,0.0001,0.0006
shamir,1890,0.0114,0.0001,0.0006
shamir,1900,0.0113,0.0001,0.0006
shamir,1910,0.0113,0.0001,0.0008
shamir,1920,0.0112,0.0001,0.0006
shamir,1930,0.0112,0.0001,0.0007
shamir,1940,0.0115,0.0001,0.0006
shamir,1950,0.0116,0.0001,0.0007
shamir,1960,0.0115,0.0001,0.0007
shamir,1970,0.0116,0.0001,0.0006
shamir,1980,0.0118,0.0001,0.0006
shamir,1990,0.0120,0.0002,0.0011
shamir,2000,0.0117,0.0001,0.0006
shamir,2010,0.0120,0.0001,0.0006
shamir,2020,0.0120,0.0001,0.0005
shamir,2030,0.0122,0.0001,0.0008
shamir,2040,0.0121,0.0001,0.0005
shamir,2050,0.0121,0.0001,0.0007
shamir,2060,0.0119,0.0001,0.0006
shamir,2070,0.0120,0.0001,0.0006
shamir,2080,0.0119,0.0001,0.0006
shamir,2090,0.0121,0.0001,0.0006
shamir,2100,0.0122,0.0001,0.0007
shamir,2110,0.0121,0.0001,0.0006
shamir,2120,0.0121,0.0001,0.0006
shamir,2130,0.0122,0.0001,0.0006
shamir,2140,0.0121,0.0001,0.0006
shamir,2150,0.0123,0.0001,0.0007
shamir,2160,0.0123,0.0001,0.0007
shamir,2170,0.0123,0.0001,0.0007
shamir,2180,0.0126,0.0001,0.0008
shamir,2190,0.0125,0.0001,0.0006
shamir,2200,0.0125,0.0001,0.0007
shamir,2210,0.0126,0.0001,0.0009
shamir,2220,0.0125,0.0001,0.0007
shamir,2230,0.0125,0.0001,0.0007
shamir,2240,0.0125,0.0001,0.0007
shamir,2250,0.0127,0.0001,0.0007
shamir,2260,0.0128,0.0001,0.0006
shamir,2270,0.0129,0.0001,0.0007
shamir,2280,0.0129,0.0001,0.0004
shamir,2290,0.0129,0.0001,0.0006
shamir,2300,0.0129,0.0001,0.0005
shamir,2310,0.0130,0.0001,0.0005
shamir,2320,0.0132,0.0001,0.0010
shamir,2330,0.0132,0.0001,0.0006
shamir,2340,0.0132,0.0001,0.0006
shamir,2350,0.0133,0.0001,0.0006
shamir,2360,0.0135,0.0002,0.0012
shamir,2370,0.0131,0.0001,0.0007
shamir,2380,0.0133,0.0001,0.0007
shamir,2390,0.0137,0.0002,0.0014
shamir,2400,0.0135,0.0001,0.0010
shamir,2410,0.0135,0.0001,0.0006
shamir,2420,0.0135,0.0001,0.0006
shamir,2430,0.0134,0.0001,0.0007
shamir,2440,0.0148,0.0005,0.0035
shamir,2450,0.0147,0.0005,0.0033
shamir,2460,0.0138,0.0001,0.0010
shamir,2470,0.0140,0.0002,0.0011
shamir,2480,0.0138,0.0001,0.0005
shamir,2490,0.0140,0.0001,0.0005
shamir,2500,0.0139,0.0001,0.0004
shamir,2510,0.0140,0.0001,0.0004
shamir,2520,0.0141,0.0001,0.0004
shamir,2530,0.0142,0.0001,0.0009
shamir,2540,0.0140,0.0001,0.0004
shamir,2550,0.0141,0.0001,0.0005
shamir,2560,0.0144,0.0003,0.0019
shamir,2570,0.0141,0.0001,0.0005
shamir,2580,0.0141,0.0001,0.0006
shamir,2590,0.0140,0.0001,0.0006
shamir,2600,0.0141,0.0001,0.0007
shamir,2610,0.0142,0.0001,0.0007
